species_name	Complete_BUSCOs	Complete_&_single-copy	Complete_&_duplicated	Fragmented	Missing	Total
Hydra_viridissima	901	688	213	9	44	954
Hydra_vulgaris	909	825	84	9	36	954
Hydractinia_symbiolongicarpus	911	775	136	11	32	954
Ichthyosporea_XGB-2017a	721	585	136	32	201	954
Isodyctia_sp	866	642	224	14	74	954
Janusya_sp	652	600	52	151	151	954
Kiyohimea_sp_WRF2015	794	727	67	24	136	954
Lampea_lactea	750	685	65	48	156	954
Lampea_sp	796	745	51	12	146	954
Lampocteis_cruentiventer	799	754	45	20	135	954
Latrunculia_apicalis	754	707	47	57	143	954
Lendenfeldia_chondrodes	863	636	227	16	75	954
Leucetta_chagosensis	893	722	171	15	46	954
Leuconia_nivea	754	568	186	79	121	954
Leucothea_pulchra	794	721	73	18	142	954
Lilyopsis_fluoracantha	844	743	101	48	62	954
Liriope_tetraphylla	915	507	408	10	29	954
Lobactis_scutaria	863	802	61	47	44	954
Lobata_sp_VWRF2014	803	741	62	15	136	954
Lubomirskia_abietina	845	688	157	17	92	954
Lubomirskia_baikalensis	853	649	204	21	80	954
Lychnagalma_utricularia	872	799	73	24	58	954
Marrus_claudanielis	871	819	52	28	55	954
Megalactis_griffithsi	886	746	140	32	36	954
Millepora_alcicornis	912	797	115	8	34	954
Montastraea_cavernosa	902	787	115	20	32	954
Montipora_aequituberculata	935	722	213	2	17	954
Montipora_capitata	925	703	222	8	21	954
Montipora_digitata	942	414	528	4	8	954
Muricea_laxa	896	777	119	19	39	954
Mycale_cecilia	875	565	310	31	48	954
Mycale_phylophylla	814	673	141	47	93	954
Nanomia_bijuga	851	795	56	42	61	954
Nematostella_vectensis	910	737	173	6	38	954
Nemopilema_nomurai	908	797	111	10	36	954
Neopetrosia_compacta	888	581	307	10	56	954
Ocyropsis_maculata	773	619	154	41	140	954
Oligometra_serripinna	927	832	95	2	25	954
Oscarella_lobularis	852	502	350	21	81	954
Oscarella_pearsei	869	626	243	15	70	954
Palythoa_caribaeorum	902	786	116	15	37	954
Palythoa_variabilis	860	764	96	41	53	954
Pelagia_noctiluca	905	811	94	10	39	954
Petrosia_ficiformis	884	550	334	21	49	954
Phenganax_sp	889	638	251	31	34	954
Physalia_physalis	861	815	46	38	55	954
Plakina_jani	883	750	133	20	51	954
Platynereis_dumerilii	925	740	185	7	22	954
Pleraplysilla_spinifera	870	646	224	11	73	954
Plesiastrea_versipora	912	745	167	14	28	954
Plumapathes_pennacea	917	755	162	5	32	954
Pocillopora_damicornis	938	459	479	7	9	954
Poecilosclerida_sp	689	625	64	127	138	954
Porites_astreoides	899	750	149	23	32	954
Porites_australiensis	917	738	179	11	26	954
